Survivor’s Remorse, Season 4 (Showtime) – August 20th, 10 PM
Top Of The Lake: China Girl, Season 2 (Sundance) – September 10th, 9 PM
Curb Your Enthusiasm Season 8 (HBO) – October 1st, 10pm
The Walking Dead Season 8 (AMC) – October 22nd, 9 PM
Shameless Season 8 (Showtime) – November 5th, 9 PM
Supergirl Season 3 (The CW) – October 9th, 8 PM
American Horror Story: Cult, Season 7 of AHS franchise (FX) – September 5th, 10 PM
Legends of Tomorrow (The CW) – October 10th, 9 PM
Marvel’s Runaways (Hulu) – November 21st, Streaming
Broad City Season 4 (Comedy Central) – September 13th, 10:30 PM
Star Season 2 (Fox) – September 27th, 9:00 PM
American Housewife Season 2 (ABC) – September 27th, 9:30 PM
Riverdale Season 2 (The CW) – October 11th, 8:00 PM
The Shannara Chronicles (Spike) – October 11th, 8:00 PM
Gotham Season 4 (Fox) – September 21st, 8:00 PM
Grey’s Anatomy Season 14 (ABC) – September 28th, 8:00 PM
Will & Grace Reboot (NBC) – September 28th, 9:00 PM
How To Get Away With Murder Season 4 (ABC) – September 28th, 10:00 PM
Arrow Season 6 (The CW) – October 12th, 9:00 PM
One Mississippi Season 2 (Amazon Prime) – September 8th, Full Season Streaming
Transparent Season 4 (Amazon Prime) – September 22nd, Full Season Streaming
Once Upon a Time Season 7 (ABC) – October 6th, 8:00 PM
Jane the Virgin Season 4 (The CW) – October 13th, 9:00 PM
