NEW! Star – ABC, January 4th
Portlandia – IFC, Thursday January 5th
Nashville – CMT, Thursday January 5th
NEW! – One Day at a Time – Netflix, Friday January 6th
Rosewood – Fox – Friday, January 6th
Supergirl – The CW – Monday, January 23rd
Jane The Virgin – The CW – Monday, January 23rd
Grey’s Anatomy – ABC – Thursday, January 26th
How To Get Away With Murder – ABC – Thursday, January 26th
Black Sails – Starz – Sunday, January 29th
The Fosters – Freeform – Tuesday, January 31st
The 100 – The CW – Wednesday, February 1st
NEW! Imposters – Bravo – Tuesday, February 7th
The Mindy Project – Hulu – Tuesday, February 14th
You Me Her – AT&T/DirectTV – Tuesday, February 14th
NEW! Doubt – CBS – Wednesday, February 15th
Billions – Showtime – Sunday, February 19th
NEW! The Good Fight – CBS – Sunday, February 19th
NEW! When We Rise – ABC – Monday, February 27th
Empire – Fox – Wednesday, March 22nd
NEW! Harlots – Hulu – Wednesday, March 29th
Call the Midwife – PBS – Sunday, April 2nd
Pretty Little Liars – Freeform – Tuesday, April 18th
NEW! The Handmaid’s Tale – Hulu – Thursday, April 26th
Sense8 – Netflix – Friday, May 5th
